yr	ty	pi	fi	in
16	earth	Manoochehr Shirzaei	Megan Miller	Arizona State University
16	planet	Meenakshi (Mini) Wadhwa	Dunham, Emilie	Arizona State University
16	planet	Steven Desch	Mai, Chuhong	Arizona State University
17	earth	Manoochehr Shirzaei	Mostafa Khoshmanesh	Arizona State University
17	planet	Meenakshi (Mini) Wadhwa	Dunlap, Daniel	Arizona State University
17	planet	Erik Asphaug	Gabriel, Travis	Arizona State University
17	planet	Ariel Anbar	Johnson, Aleisha	Arizona State University
18	planet	Meenakshi (Mini) Wadhwa	Ray, Soumya	Arizona State University
20	astro	Evgenya Shkolnik	Tyler Richey-Yowell	Arizona State University
20	planet	Ariel Anbar	Dan Sullivan	Arizona State University
21	astro	Michael Line	Aishwarya Iyer	Arizona State University
21	astro	Philip Mauskopf	Sasha Sypkens	Arizona State University
21	planet	Joseph O'Rourke	Kevin Trinh	Arizona State University
21	planet	Thomas Sharp	Leah Shteynman	Arizona State University
21	planet	Everett Shock	Jordyn Robare	Arizona State University
19	astro	Judd Bowman	Nivedita Mahesh	Arizona State University
19	astro	Michael Line	Joseph Zalesky	Arizona State University
19	planet	Steven Desch	Sierra Ferguson	Arizona State University
19	planet	Meenakshi (Mini) Wadhwa	Zachary Torrano	Arizona State University
20	earth	Manoochehr Shirzaei	Grace Anne Carlson	Arizona State University
21	planet	Masatoshi Hirabayashi	Ryota Nakano	Auburn University
16	planet	Michael Callahan	Hammer, Phillip	Boise State University
17	earth	Nancy Glenn	Ginikanda Ilangakoon	Boise State University
18	earth	Hans-Peter Marshall	Joel Gongora	Boise State University
21	earth	Jodi Brandt	Nicholas Kolarik	Boise State University
21	earth	Ellyn Enderlin	Julia Liu	Boise State University
16	earth	Curtis Woodcock	Eric Bullock	Boston University
16	earth	Ranga Myneni	Taejin Park	Boston University
16	earth	Michael Dietze	Alexey Shiklomanov	Boston University
17	earth	Mark Friedl	Radost Stanimirova	Boston University
17	helio	Joshua Semeter	Sivadas, Nithin	Boston University
18	helio	Merav Opher	Kornbleuth, Marc	Boston University
20	helio	Wen Li	Longzhi Gan	Boston University
20	helio	Merav Opher	Warren Shelley	Boston University
21	helio	Wen Li	Sheng Huang	Boston University
21	helio	Merav Opher	Xiaohan Ma	Boston University
19	planet	Paul Withers	Kerrin Hensley	Boston University
19	earth	David Long	Michael Walton	Brigham Young University
17	astro	Gregory Tucker	Kilpatrick, Brian	Brown University
17	planet	James Head	Palumbo, Ashley	Brown University
18	planet	Stephen Parman	Anzures, Brendan	Brown University
20	planet	Ralph Milliken	Melissa Meyer	Brown University
20	planet	Understanding the processes occurring at Mars and the history of its climate were identified as high-priority science goals in the 2013-2022 Planetary Science Decadal Survey. An understanding of the factors controlling ion escape, which this study aims to provide, is critical in order to achieve those goals. The proposed study of ion escape processes occurring today at Mars would improve extrapolations back in time, allowing for more accurate characterization of the planet’s early atmosphere. In Section 4.3 of the 2014 Science Plan, the Planetary Science Division expressed the goals to ‘understand how [the objects in the solar system] formed and evolve’ as well as to ‘advance the understanding of how the chemical and physical processes in our solar system operate, interact and evolve.’ The accomplishment of those objectives is impossible without comprehensive study of ion escape processes at Mars.  John Mustard	Christopher Kremer	Brown University
19	earth	Laurence Smith	Ethan Kyzivat	Brown University
19	planet	John Mustard	Alyssa Pascuzzo	Brown University
15	earth	Nadia Lapusta	John Rollins	California Institute of Technology
15	planet	Bethany Ehlmann	Buz, Jennifer	California Institute of Technology
15	planet	Michael Brown	Fischer, Patrick	California Institute of Technology
15	planet	Andrew Ingersoll	Li, Cheng	California Institute of Technology
15	planet	Heather Knutson	Ngo, Henry	California Institute of Technology
15	planet	Konstantin Batygin	Spalding, Christopher	California Institute of Technology
16	earth	Mitchio Okumura	Matthew Smarte	California Institute of Technology
16	planet	Andrew Ingersoll	Buhler, Peter	California Institute of Technology
16	planet	Woodward Fischer	Ward, Lewis	California Institute of Technology
17	planet	Michael Lamb	Hayden, Alistair	California Institute of Technology
17	planet	Michael Brown	Trumbo, Samantha	California Institute of Technology
18	planet	Bethany Ehlmann	Scheller, Eva	California Institute of Technology
20	planet	Francois Tissot	Haoyu Li	California Institute of Technology
21	planet	Francois Tissot	Ren Thomas Marquez	California Institute of Technology
19	astro	Dimitri Mawet	Daniel Echeverri	California Institute of Technology
19	planet	Heather Knutson	Shreyas Vissapragada	California Institute of Technology
19	planet	David Stevenson	Stephen Markham	California Institute of Technology
19	planet	Yuk Yung	Danica Adams	California Institute of Technology
20	earth	Michael Lamb	Justin A Nghiem	California Institute of Technology
21	earth	Andrew Thompson	Yue Bai	California Institute of Technology
15	earth	Albert Presto	Xiang Li	Carnegie Mellon University
15	earth	Ryan Sullivan	Michael Polen	Carnegie Mellon University
17	earth	Barry Gross	Nathaniel Levitan	City College of New York
19	earth	Zhengzhao Luo	Sofia Chelpon	City College of New York
17	earth	Maria Tzortziou	Brian Lamb	City College of New York
17	earth	Kyle McDonald	Kat Jensen	City College of New York
16	earth	Ron Eastman	Bernadette Arakwiye	Clark University
17	earth	Christopher Williams	Tong Jiao	Clark University
20	earth	Lyndon Estes	Lei Song	Clark University
20	planet	John Spear	Emily A. Kraus	Colorado School of Mines
17	earth	Tim Covino	Allison Rhea	Colorado State University
18	earth	Tim Covino	Alexander Brooks	Colorado State University
18	earth	David Thompson	Casey Patrizio	Colorado State University
18	earth	Michael Bell	Naufal Razin	Colorado State University
19	earth	Christian Kummerow	Richard Schulte	Colorado State University
20	earth	Daniel McGrath	Randall Ray Bonnell	Colorado State University
21	earth	Kristen Rasmussen	Marquette Rocque	Colorado State University
15	astro	Bradley Johnson	McCarrick, Heather	Columbia University
15	earth	Robin Bell	Winnie Chu	Columbia University
15	earth	Mingfang Ting	Xiaoqiong Li	Columbia University
15	earth	Lorenzo Polvani	Bernard Lipat	Columbia University
15	earth	Joaquim Goes	Jan-Erik Tesdal	Columbia University
16	earth	Pierre Gentine	Julia Green	Columbia University
16	earth	Joerg Schaefer	Joshua Maurer	Columbia University
17	earth	Park Williams	Daniel Bishop	Columbia University
17	earth	Konstantinos Tsigaridis	Chloe Gao	Columbia University
21	helio	Lorenzo Sironi	Aaron Tran	Columbia University
18	earth	Arlene Fiore	Xiaomeng Jin	Columbia University
18	earth	Adam Sobel	Zane Martin	Columbia University
19	astro	David Schiminovich	Barbara Cruvinel Santiago	Columbia University
19	earth	Roisin Commane	Sarah Ludwig	Columbia University
19	earth	Andrew Juhl	Elise Myers	Columbia University
19	earth	Christopher Zappa	Una Miller	Columbia University
20	earth	Lorenzo Polvani	Ivan Mitevski	Columbia University
20	earth	Mingfang Ting	Yujia You	Columbia University
20	earth	Park Williams	Caroline S Juang	Columbia University
15	planet	Alexander Hayes	Birch, Samuel	Cornell University
15	planet	Donald Campbell	Marshall, Sean	Cornell University
15	planet	Robin Garrod	Pauly, Tyler	Cornell University
16	astro	Dong Lai	Vick, Michelle	Cornell University
16	earth	Matthew Pritchard	Francisco Delgado	Cornell University
16	earth	Matthew Pritchard	William Durkin	Cornell University
16	planet	Alexander Hayes	Hadnott, Bryne	Cornell University
17	earth	Rowena Lohman	Paula Burgi	Cornell University
17	planet	Dong Lai	Pu, Bonan	Cornell University
18	planet	Dong Lai	Anderson, Kassandra	Cornell University
20	planet	Nikole Lewis	Ishram Mishra	Cornell University
21	planet	Don Banfield	Carly Snell	Cornell University
19	astro	Dong Lai	Yubo Su	Cornell University
19	earth	Matthew Pritchard	Patricia MacQueen	Cornell University
19	planet	Philip Nicholson	Andrew Foster	Cornell University
20	earth	Ying Sun	Jiaming Wen	Cornell University
21	earth	Kaitlin Gold	Fernando Romero Galvan	Cornell University
20	earth	Colin Meyer	Brita I Horlings	Dartmouth College
16	earth	Ana Barros	Malarvizhi Arulraj	Duke University
17	earth	Mukesh Kumar	Christopher Krapu	Duke University
17	earth	M. Susan Lozier	Ryan Peabody	Duke University
17	earth	Drew Shindell	Karl Seltzer	Duke University
17	earth	Justin Wright	Emily Ury	Duke University
17	earth	Marco Marani	Enrico Zorzetto	Duke University
18	earth	Ana Barros	Mochi Liao	Duke University
19	earth	David Johnston	Patrick Gray	Duke University
19	planet	Csaba Palotai	Ramanakumar Sankar	Florida Institute of Technology
15	earth	Tiruvalam Krishnamurti	Jonathan Bielli	Florida State University
15	earth	Vasubandhu Misra	Danielle Groenen	Florida State University
16	planet	Jeremy Owens	Ostrander, Chadlin	Florida State University
17	earth	Christopher Holmes	Kelly Graham	Florida State University
19	earth	Christopher Holmes	Charles Fite	Florida State University
20	earth	Eric Chassignet	Morgan B Shaner	Florida State University
16	helio	Erdal Yigit	Panka, Peter	George Mason University
19	astro	Sylvain Guiriec	Alyson Barker	George Washington University
15	earth	Athanasios Nenes	James Hite	Georgia Institute of Technology
15	earth	Nga Lee Ng	Javier Sanchez	Georgia Institute of Technology
21	helio	Petrus Martens	Sumanth Rotti	Georgia State University Research Foundation, Inc.
16	earth	Rafael Bras	Yannis Dialynas	Georgia Tech Research Corporation
17	earth	Brian Gunter	Byron Davis	Georgia Tech Research Corporation
17	earth	Aris Georgakakos	Courtney Di Vittorio	Georgia Tech Research Corporation
17	earth	Athanasios Nenes	Arnaldo Negron Marty	Georgia Tech Research Corporation
20	astro	John Wise	Danielle Skinner	Georgia Tech Research Corporation
20	planet	Amanda Stockton	Chinmayee Govinda Raj	Georgia Tech Research Corporation
20	planet	James Wray	Angela Dapremont	Georgia Tech Research Corporation
19	planet	Britney Schmidt	Justin Lawrence	Georgia Tech Research Corporation
19	planet	Amanda Stockton	Kenneth Seaton	Georgia Tech Research Corporation
15	planet	Kunio Sayanagi	Blalock, John	Hampton University
21	planet	Kunio Sayanagi	Justin Garland	Hampton University
15	astro	Lars Hernquist	Mocz, Philip	Harvard College
15	astro	Charlie Conroy	Ting, Yuan-Sen	Harvard College
16	earth	Paul Moorcroft	Miriam Johnston	Harvard College
20	astro	Jonathan Grindlay	Daniel Violette	Harvard College
20	astro	Lars Hernquist	Angus Beane	Harvard College
18	earth	Daniel Jacob	Jiawei Zhuang	Harvard College
19	earth	Peter Huybers	Ted Amdur	Harvard College
15	helio	Seebany Datta-Barua	Miladinovich, Daniel	Illinois Institute of Technology
15	planet	David Bish	Achilles, Cherie	Indiana University
21	earth	Douglas Edmonds	Harrison Martin	Indiana University
21	earth	Kim Novick	Qing Chang	Indiana University
21	earth	Paul Staten	Samuel Smith	Indiana University
16	earth	Brian Hornbuckle	Victoria Walker	Iowa State University, Ames
19	earth	Yuyu Zhou	Lin Meng	Iowa State University, Ames
18	astro	Sarah Horst	Moran, Sarah	Johns Hopkins University
18	planet	Sarah Horst	Hadnott, Bryne	Johns Hopkins University
21	astro	Christine Chen	Xinyu Lu	Johns Hopkins University
21	astro	Rosemary Wyse	Carrie Filion	Johns Hopkins University
21	planet	Sarah Horst	Michael Radke	Johns Hopkins University
21	planet	Darryn Waugh	Lavender Hanson	Johns Hopkins University
19	planet	Sabine Stanley	Regupathi Angappan	Johns Hopkins University
16	earth	Kerri Cahoy	Angie Crews	Massachusetts Institute of Technology
16	earth	Colette Heald	Sam Silva	Massachusetts Institute of Technology
20	planet	Glenn Flierl	Santiago J. Benavides	Massachusetts Institute of Technology
20	planet	Benjamin Weiss	Elias Mansbach	Massachusetts Institute of Technology
20	helio	Nuno Loureiro	Muni Zhou	Massachusetts Institute of Technology
21	astro	Michael McDonald	Michael Calzadilla	Massachusetts Institute of Technology
18	earth	Taylor Perron	Samuel Goldberg	Massachusetts Institute of Technology
21	earth	Brent Minchew	Faye Hendley Elgart	Massachusetts Institute of Technology
17	earth	Phoebe Zarnetske	Laura Twardochleb	Michigan State University
19	earth	Phoebe Zarnetske	Beth Gerstner	Michigan State University
15	earth	Lynn Mazzoleni	Matthew Brege	Michigan Technological University
15	earth	Colleen Mouw	Brice Grunert	Michigan Technological University
16	earth	Thomas Oommen	El Hachemi Bouali	Michigan Technological University
16	earth	Evan Kane	Karl Meingast	Michigan Technological University
17	earth	Raymond Shaw	Kamal Chandrakar	Michigan Technological University
18	earth	Mehmet Kurum	Orhan Eroglu	Mississippi State University
21	earth	Mehmet Kurum	Dylan Boyd	Mississippi State University
15	earth	Jean Dixon	Sarah Benjaram	Montana State University
16	earth	Benjamin Poulter	Leonardo Calle	Montana State University
20	earth	Eric Sproles	Ross Palomaki	Montana State University
20	earth	Jennifer Watts	Mary Farina	Montana State University, Bozeman
16	planet	Eric Boyd	Lindsay, Melody	Montana State University, Bozeman
17	helio	Charles Kankelborg	Smart, Roy	Montana State University, Bozeman
18	planet	Mark Skidmore	Steigmeyer, August	Montana State University, Bozeman
18	helio	John Sample	Shumko, Mykhaylo	Montana State University, Bozeman
20	astro	Anne Lohfink	Sulov Chalise	Montana State University, Bozeman
20	planet	Roland Hatzenpichler	George Schaible	Montana State University, Bozeman
21	planet	Christine Foreman	Madeline Garner	Montana State University, Bozeman
21	helio	Charles Kankelborg	Catharine Bunn	Montana State University, Bozeman
16	helio	Alexander Kosovichev	Sadykov, Viacheslav	New Jersey Institute of Technology
19	helio	Alexander Kosovichev	Andrey Stejko	New Jersey Institute of Technology
21	planet	Daniel Jones	Zoe Havlena	New Mexico Institute of Mining And Technology
16	earth	Kenneth Minschwaner	Zachary Lawrence	New Mexico Institute of Mining And Technology
16	planet	James Murphy	Emmett, Jeremy	New Mexico State University
17	earth	Niall Hanan	Brianna Lind	New Mexico State University
20	planet	Nancy Chanover	David DeColibus	New Mexico State University
20	astro	David Hogg	Kate Storey-Fisher	New York University
21	astro	Maryam Modjaz	Marc Williamson	New York University
15	earth	Viney Aneja	William Battye	North Carolina State University
17	planet	Paul Byrne	Kling, Corbin	North Carolina State University
18	earth	Nicholas Meskhidze	Xinyi Ling	North Carolina State University
19	planet	Paul Byrne	Rachel Atkins	North Carolina State University
21	earth	Josh Gray	Xiaojie Gao	North Carolina State University
21	earth	Mirela Tulbure	Vinicius Perin	North Carolina State University
20	planet	Devon Burr	Anthony Maue	Northern Arizona University
20	planet	Christopher Edwards	Ari Koeppel	Northern Arizona University
20	planet	Stephen Tegler	Anna Engle	Northern Arizona University
21	planet	Devon Burr	Natalie Jones	Northern Arizona University
21	planet	Christopher Edwards	Christian Tai Udovicic	Northern Arizona University
19	earth	Scott Goetz	Kathleen Orndahl	Northern Arizona University
21	earth	Christopher Doughty	Jenna Keany	Northern Arizona University
15	astro	Yoram Lithwick	Hadden, Sam	Northwestern University, Evanston
18	astro	Claude-Andre Faucher-Giguere	Gurvich, Alexander	Northwestern University, Evanston
18	planet	Magdalena Osburn	Casar, Caitlin	Northwestern University, Evanston
21	astro	Alexander Tchekhovskoy	Danat Issa	Northwestern University, Evanston
19	astro	Raffaella Margutti	Aprajita Hajela	Northwestern University, Evanston
19	planet	Daniel Horton	Howard Chen	Northwestern University, Evanston
15	earth	Michael Durand	Stephen Tuozzolo	Ohio State University
17	earth	Michael Durand	Apoorva Shastry	Ohio State University
21	planet	Heather Allen	Nicole North	Ohio State University
19	earth	Michael Durand	Stephen Coss	Ohio State University
20	earth	Ian Howat	Allison Chartrand	Ohio State University
15	earth	Michael Behrenfeld	Matthew Brown	Oregon State University
15	earth	Emily Shroyer	Kerstin Cullen	Oregon State University
16	earth	Larry O'Neill	Briana Phillips	Oregon State University
16	earth	Anne Nolin	Travis Roth	Oregon State University
16	earth	Jennifer Hutchings	Daniel Watkins	Oregon State University
19	astro	Davide Lazzati	Tyler Parsotan	Oregon State University
19	earth	Larry O'Neill	Robert Jacobs	Oregon State University
20	earth	Rebecca Hutchinson	Laurel  Hopkins	Oregon State University
21	earth	Jennifer Hutchings	MacKenzie Jewell	Oregon State University
16	astro	David Burrows	Bray, Evan	Pennsylvania State University
17	earth	Fuqing Zhang	Robert Nystrom	Pennsylvania State University
17	planet	Christopher House	Wong, Gregory	Pennsylvania State University
18	astro	Suvrath Mahadevan	Canas, Caleb	Pennsylvania State University
19	planet	Christine Keating	Saehyun Choi	Pennsylvania State University
20	earth	David Stensrud	Keenan Eure	Pennsylvania State University
20	earth	Christelle Wauthier	Judit Gonzalez Santana	Pennsylvania State University
15	astro	Anatoly Spitkovsky	Philippov, Alexander	Princeton University
15	astro	N. Kasdin	Subedi, Hari	Princeton University
17	earth	Mark Zondlo	Xuehui Guo	Princeton University
19	earth	Stephan Fueglistaler	Shiv Priyam Raghuraman	Princeton University
15	earth	Dev Niyogi	Saiprasanth Bhalachandran	Purdue University
15	planet	David Minton	Graves, Kevin	Purdue University
15	planet	David Minton	Huang, Ya	Purdue University
16	earth	Wen-wen Tung	Qianwen Luo	Purdue University
16	planet	David Minton	Hesselbrock, Andrew	Purdue University
17	earth	Qianlai Zhuang	Youmi Oh	Purdue University
17	earth	Dev Niyogi	Anamika Shreevastava	Purdue University
18	planet	Briony Horgan	Scudder, Noel	Purdue University
18	planet	Andrew Freed	Trowbridge, Alexander	Purdue University
20	planet	Brandon Johnson	Camille Denton	Purdue University
20	planet	Michelle Thompson	Laura Camila Chaves	Purdue University
21	planet	Michelle Thompson	Dara Laczniak	Purdue University
19	earth	Venkatesh Merwade	Alka Tiwari	Purdue University
19	planet	Briony Horgan	Prakhar Sinha	Purdue University
21	earth	James Garrison	Seho Kim	Purdue University
16	planet	Karyn Rogers	Eskew, Bryan	Rensselaer Polytechnic Institute
17	astro	Michael Zemcov	Nguyen, Chi	Rochester Institute of Technology
19	earth	Kay Bidle	Ben Diaz	Rutgers University, New Brunswick
19	planet	Debashish Bhattacharya	Julia Van Etten	Rutgers University, New Brunswick
17	planet	Paul Bracher	Campbell, Thomas	Saint Louis University
21	planet	Paul Bracher	Steven Skaggs	Saint Louis University
16	earth	Alicia Kinoshita	Patrick Poon	San Diego State University
17	earth	Li An	Jie Dai	San Diego State University
17	earth	Douglas Stow	Emanuel Storey	San Diego State University
18	earth	David Roy	Pedro Valle de Carvalho e Oliveira	South Dakota State University
15	earth	Zhong Lu	Xie Hu	Southern Methodist University
16	earth	Zhong Lu	Kimberly DeGrandpre	Southern Methodist University
20	planet	Tomce Runcevski	Christina McConville	Southern Methodist University
15	earth	Christopher Field	Grayson Badgley	Stanford University
15	helio	Philip Scherrer	Chen, Ruizhu	Stanford University
16	earth	Paul Segall	Elias Heimisson	Stanford University
16	earth	Kevin Arrigo	Kate Lewis	Stanford University
18	earth	Alexandra Konings	Nathan Dadap	Stanford University
21	planet	Sonia Tikoo	Ji-In Jung	Stanford University
18	earth	Alexandra Konings	Krishna Rao	Stanford University
19	astro	Roger Romani	Abel Peirson V	Stanford University
20	earth	Alexandra Konings	Nataniel M Holtzman	Stanford University
21	earth	Alexandra Konings	Caroline Famiglietti	Stanford University
15	earth	Kristen Corbosiero	Stephanie Stevenson	State University of New York, Albany
16	earth	Andrea Lang	Hannah Attard	State University of New York, Albany
21	earth	Sara Lance	Christopher Lawrence	State University of New York, Albany
18	earth	Adam Wilson	Chenyang Wei	State University of New York, Buffalo
15	planet	Joel Hurowitz	Thorpe, Michael	State University of New York, Stony Brook
16	planet	Timothy Glotch	Rucks, Melinda	State University of New York, Stony Brook
21	planet	Joel Hurowitz	Victoria Rivera Banuchi	State University of New York, Stony Brook
16	earth	Heather Lynch	Casey Youngflesh	State University of New York, Stony Brook
19	earth	William Holt	Jeonghyeop Kim	State University of New York, Stony Brook
20	earth	Heather Lynch	Rachael Whitney Herman	State University of New York, Stony Brook
17	earth	Huilin Gao	Gang Zhao	Texas A&M Engineering Experiment Station
16	earth	Renyi Zhang	Bowen Pan	Texas A&M University, College Station
18	earth	Courtney Schumacher	Lidia Huaman Chuquihuaccha	Texas A&M University, College Station
19	astro	Casey Papovich	Vicente Estrada-Carpenter	Texas A&M University, College Station
19	earth	Ping Yang	Jeffrey Mast	Texas A&M University, College Station
15	earth	Ping Yang	Souichiro Hioki	Texas A&M University, College Station
20	earth	Andrew Dessler	Li-Wei Chao	Texas A&M University, College Station
20	earth	Ping Yang	Nancy Nanna Okeudo	Texas A&M University, College Station
17	earth	Ping Yang	Adam Bell	Texas A&M University, College Station
16	planet	William Jackson	Brundrett, Maeghan	Texas Tech University, Lubbock
20	earth	Helen Amanda Fricker	Philipp Sebastian Arndt	UCSD, Scripps Institution of Oceanography
15	helio	Jacob Heerikhuisen	DeStefano, Anthony	University of Alabama, Huntsville
16	helio	Gary Zank	Mostafavi, Parisa	University of Alabama, Huntsville
17	helio	Gary Zank	Tang, Bofeng	University of Alabama, Huntsville
18	planet	Richard Miller	Phillips, Deanna	University of Alabama, Huntsville
18	helio	Nikolai Pogorelov	Singh, Talwinder	University of Alabama, Huntsville
20	helio	Gang Li	Michael Terres	University of Alabama, Huntsville
21	helio	Nikolai Pogorelov	Dinesha Vasanta Hegde	University of Alabama, Huntsville
21	helio	Ying Zou	Katherine Davidson	University of Alabama, Huntsville
19	astro	Michael Briggs	Jared Fuchs	University of Alabama, Huntsville
19	earth	Phillip Bitzer	Christopher Gerlach	University of Alabama, Huntsville
20	earth	John Mecikalski	Sebastian S Harkema	University of Alabama, Huntsville
15	earth	Sundar Christopher	Yi-Yin Chang	University of Alabama, Huntsville
15	earth	John Mecikalski	Vikalp Mishra	University of Alabama, Huntsville
16	earth	James Miller	Samer Alnussirat	University of Alabama, Huntsville
17	earth	John Mecikalski	Nicholas Elmer	University of Alabama, Huntsville
20	helio	Hui Zhang	Xi Lu	University of Alaska, Fairbanks
16	earth	David Barnes	Molly Tedesche	University of Alaska, Fairbanks
21	earth	Katey Anthony	Natalie Tyler	University of Alaska, Fairbanks
21	earth	Tarsilo Girona	Claire Puleio	University of Alaska, Fairbanks
20	earth	Meredith Kupinski	Kira A Hart	University of Arizona
15	planet	Isamu Matsuyama	Hay, Hamish	University of Arizona
15	planet	Travis Barman	Peacock, Sarah	University of Arizona
16	planet	Shane Byrne	Bramson, Ali	University of Arizona
16	planet	Andrew Youdin	Li, Rixin	University of Arizona
16	planet	Roger Yelle	Vriesema, Jess	University of Arizona
16	planet	Daniel Apai	Zhou, Yifan	University of Arizona
17	planet	Daniel Apai	Bixel, Alex	University of Arizona
18	planet	Walter Harris	Lejoly, Cassandra	University of Arizona
18	planet	Vishnu Reddy Kanupuru	Sharkey, Benjamin	University of Arizona
18	planet	Adam Showman	Steinrueck, Maria	University of Arizona
20	astro	Vasileios Paschalidis	Gabriele Bozzola	University of Arizona
20	planet	In this proposal I outline the development of the Re isotope proxy to track changes in the extent of suboxic conditions in the ocean. This proxy can be applied to any time in Earth history during which major changes in oceanic oxygenation occurred.  Jessica Barnes	Zoë Wilbur	University of Arizona
20	planet	Christopher Hamilton	Joana Voigt	University of Arizona
20	planet	Walter Harris	Alessondra Springmann	University of Arizona
21	astro	Erika Hamden	Aafaque Khan	University of Arizona
19	planet	Lynn Carter	Indujaa Ganesh	University of Arizona
19	planet	Vishnu Reddy Kanupuru	Allison McGraw	University of Arizona
18	earth	Matthias Morzfeld	Kyle Gwirtz	University of Arizona
18	earth	Xiquan Dong	Yiyi Huang	University of Arizona
19	earth	John Holt	Brandon Tober	University of Arizona
19	earth	Scott Saleska	Shuli Chen	University of Arizona
19	earth	William Smith	Xian Wang	University of Arizona
17	planet	Vincent Chevrier	Czaplinski, Ellen	University of Arkansas, Fayetteville
20	planet	Julia Kennefick	Paul Bonney	University of Arkansas, Fayetteville
21	planet	Vincent Chevrier	Jill Sandtorf-McDonald	University of Arkansas, Fayetteville
19	astro	Bret Lehmer	Lacey West	University of Arkansas, Fayetteville
20	earth	Lara Kueppers	Adam  Hanbury-Brown	University of California, Berkeley
15	astro	Eliot Quataert	Ressler, Sean	University of California, Berkeley
15	earth	Laurel Larsen	Mollie Van Gordon	University of California, Berkeley
15	helio	Stuart Bale	Hanson, Elizabeth	University of California, Berkeley
16	planet	Imke de Pater	Tollefson, Joshua	University of California, Berkeley
16	helio	Stuart Bale	Bowen, Trevor	University of California, Berkeley
17	astro	Steven Boggs	Sleator, Clio	University of California, Berkeley
18	helio	Stuart Bale	Badman, Samuel	University of California, Berkeley
20	astro	Courtney Dressing	Steven Giacalone	University of California, Berkeley
20	planet	David Mitchell	Kathleen Hanley	University of California, Berkeley
21	astro	Jessica Lu	Casey Lam	University of California, Berkeley
21	planet	David Mitchell	Murti Nauth	University of California, Berkeley
21	helio	Stuart Bale	Claire Gasque	University of California, Berkeley
19	earth	Roland Burgmann	Yuexin Li	University of California, Berkeley
19	earth	Laurel Larsen	Rosanna Neuhausler	University of California, Berkeley
19	helio	Stuart Bale	Juan Buitrago Casas	University of California, Berkeley
21	earth	Dennis Baldocchi	Tianxin Wang	University of California, Berkeley
21	earth	Roland Burgmann	Danielle Lindsay	University of California, Berkeley
21	earth	Trevor Keenan	Xinchen Lu	University of California, Berkeley
16	planet	Sarah Stewart-Mukhopadhyay	Davies, Erik	University of California, Davis
18	astro	Kyle Crabtree	Johansen, Sommer	University of California, Davis
20	planet	Qing-zhu Yin	Supratrim Dey	University of California, Davis
21	astro	Andrew Wetzel	Isaiah Santistevan	University of California, Davis
16	earth	Shu-Hua Chen	Kenneth Earl	University of California, Davis
19	earth	Eric Post	Christian John	University of California, Davis
21	earth	Michael Oskin	Alba Mar Rodriguez Padilla	University of California, Davis
21	astro	Aomawa Shields	Vidya Venkatesan	University of California, Irvine
20	earth	Kuo-Lin Hsu	Vesta Afzali Gorooh	University of California, Irvine
20	earth	James Randerson	Nicole M Hemming-Schroeder	University of California, Irvine
20	earth	Eric Rignot	Shivani Ehrenfeucht	University of California, Irvine
